Headword,Definition,Part of Speech,Semantic Group,Frequency Rank
auctōritās -ātis f.,"influence, clout, authority",Noun: 3rd Declension,Social Life,898.00
audāx audācis,"bold, daring; reckless",Adjective: 3rd Declension,Personality Traits/Characteristics,876.00
audeō audēre ausus sum,"dare, be eager",Verb: 2nd Conjugation,Personality Traits/Characteristics,270.00
audiō -īre -īvī/-iī -ītum,"hear, listen to",Verb: 4th Conjugation,Other Senses,165.00
auferō auferre abstulī ablātum,take away,Verb: Irregular,Verbs of Transport,556.00
augeō augēre auxī auctum,increase,Verb: 2nd Conjugation,Making/Doing,709.00
avis -is f.,bird,Noun: 3rd Declension,Animals/Plants,855.00
aura -ae f.,breeze,Noun: 1st Declension,Air and Fire,420.00
aureus -a -um,golden; splendid,Adjective: 1st and 2nd Declension,Business/Money,691.00
auris -is f.,ear,Noun: 3rd Declension,The Body,366.00
aurum -ī n.,gold,Noun: 2nd Declension,Business/Money,303.00
aut,or,Conjunction,Conjunctions/Adverbs,24.00
autem,"moreover, but, however",Conjunction,Conjunctions/Adverbs,123.00
auxilium -ī n.,"support, assistance; (pl.) auxiliary forces",Noun: 2nd Declension,War and Peace,543.00
barbarus -ī m.,"foreigner, barbarian",Noun: 2nd Declension,War and Peace,768.00
beātus -a -um,"happy, blessed, prosperous, fortunate",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,408.00
bellum -ī n.,war,Noun: 2nd Declension,War and Peace,86.00
bene,well,Adverb,Personality Traits/Characteristics,235.00
beneficium -ī n.,"service, kindness",Noun: 2nd Declension,Social Life,182.00
bonus -a -um,good,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,68.00
bōs bovis m.,ox; gen. pl. boum,Noun: 3rd Declension,Animals/Plants,808.00
brevis -e,"short, shallow, brief",Adjective: 3rd Declension,Measurement,589.00
breviter,briefly,Adverb,Measurement,992.00
cadō cadere cecidī cāsum,"fall, be killed",Verb: 3rd Conjugation -ō,Violence,210.00
caecus -a -um,"blind, unseeing; dark, obscure",Adjective: 1st and 2nd Declension,Vision,728.00
caedēs -is f.,"killing, slaughter",Noun: 3rd Declension,Violence,415.00
caedō caedere cecīdī caesum,"strike, kill, cut down",Verb: 3rd Conjugation -ō,Violence,612.00
caelestis -e,"from or of heaven; caelestēs, the gods",Adjective: 3rd Declension,Air and Fire,960.00
caelum -ī n.,"sky, heavens",Noun: 2nd Declension,Air and Fire,117.00
campus -ī m.,"plain, field",Noun: 2nd Declension,Earth and Water,391.00
candidus -a -um,"white, fair",Adjective: 1st and 2nd Declension,Vision,692.00
canis -is m./f.,dog,Noun: 3rd Declension,Animals/Plants,687.00
canō canere cecinī cantum,sing,Verb: 3rd Conjugation -ō,Writing/Poetry,389.00
capiō capere cēpī captum,seize,Verb: 3rd Conjugation -iō,War and Peace,131.00
caput capitis n.,head,Noun: 3rd Declension,The Body,124.00
careō -ēre -uī,lack (+ abl.),Verb: 2nd Conjugation,Business/Money,572.00
carmen -inis n.,song,Noun: 3rd Declension,Writing/Poetry,254.00
cārus -a -um,dear,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,462.00
castrum -ī n.,"fortress, (regularly plural, castra camp)",Noun: 2nd Declension,War and Peace,224.00
castus -a -um,"pure, spotless, chaste",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,838.00
cāsus -ūs m.,"a fall; chance, accident",Noun: 4th Declension,Violence,344.00
caveō cavēre cāvī cautum,"be on guard, beware",Verb: 2nd Conjugation,Violence,941.00
causa -ae f.,"cause, reason; causā + preceding genitive, for the sake of",Noun: 1st Declension,Speech/Oratory,107.00
cēdō cēdere cessī cessum,"go, move; yield",Verb: 3rd Conjugation -ō,War and Peace,304.00
celebrō -āre,"frequent, throng, crowd",Verb: 1st Conjugation,The City,893.00
celer -is -e,swift,Adjective: 3rd Declension,Time,745.00
celeriter,quickly,Adverb,Time,967.00
cēnseō cēnsēre cēnsuī cēnsum,"assess, rate; think, decide",Verb: 2nd Conjugation,Education/Knowledge,928.00
centum,one hundred,Adjective: Numeral,Measurement,730.00
cernō cernere crēvī crētum,"discern, separate",Verb: 3rd Conjugation -ō,Education/Knowledge,655.00
certē,"certainly, surely",Adverb,Measurement,601.00
certō -āre,"decide by contest; fight, compete, vie",Verb: 1st Conjugation,Athletics,864.00
certus -a -um,"sure, fixed",Adjective: 1st and 2nd Declension,Measurement,285.00
cēterum,"for the rest, in addition, however that may be",Adverb,Pronouns/Interrogatives,571.00
cēterus -a -um,"the other, the others, the rest",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,596.00
cibus -ī m.,food,Noun: 2nd Declension,Life and Being,863.00
cingō cingere cīnxī cīnctum,"encircle, surround, gird",Verb: 3rd Conjugation -ō,War and Peace,814.00
cinis cineris m./f.,"ashes, embers",Noun: 3rd Declension,Air and Fire,779.00
circā,around (adv. and prep. +acc.),Preposition,Place,735.00
citus -a -um,swift; citō swiftly,Adjective: 1st and 2nd Declension,Time,590.00
cīvis -is m./f.,citizen,Noun: 3rd Declension,The City,471.00
cīvitās -ātis f.,"citizenship, state",Noun: 3rd Declension,The City,346.00
clāmor -ōris m.,"outcry, shout",Noun: 3rd Declension,Speech/Oratory,605.00
clārus -a -um,"clear, distinguished",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,395.00
classis -is f.,"class, division, fleet",Noun: 3rd Declension,War and Peace,505.00
claudō claudere clausī clausum,"close, shut",Verb: 3rd Conjugation -ō,The House,392.00
coepī coepisse coeptus,begin,Verb: Irregular,Time,312.00
cōgitō -āre,"think, reflect",Verb: 1st Conjugation,Education/Knowledge,515.00
cōgnōscō -gnōscere -gnōvī -gnitum,"learn, understand",Verb: 3rd Conjugation -ō,Education/Knowledge,339.00
cōgō cōgere coēgī coāctum,drive together; compel,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,250.00
cohors cohortis f.,"cohort, band, troop",Noun: 3rd Declension,War and Peace,666.00
colligō -ere -lēgī -lēctum,"gather together, collect",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,820.00
colō colere coluī cultum,"inhabit, cultivate",Verb: 3rd Conjugation -ō,Animals/Plants,333.00
color -ōris m.,color,Noun: 3rd Declension,Vision,725.00
coma -ae f.,"hair, tresses",Noun: 1st Declension,The Body,405.00
comes comitis m./f.,"companion, comrade; attendant, follower",Noun: 3rd Declension,Social Life,448.00
committō -mittere -mīsī -missum,"join, entrust to (+ dat.); perform, do",Verb: 3rd Conjugation -ō,Social Life,608.00
commūnis -e,"common, general",Adjective: 3rd Declension,The City,660.00
comparō -āre,"get ready, provide; compare",Verb: 1st Conjugation,Business/Money,890.00
compōnō -pōnere posuī positum,"build, construct, arrange",Verb: 3rd Conjugation -ō,Making/Doing,443.00
concēdō -cēdere -cessī -cessum,"yield, withdraw",Verb: 3rd Conjugation -ō,War and Peace,663.00
condīciō -ōnis f.,"agreement, condition",Noun: 3rd Declension,Business/Money,920.00
condō -dere -didī -ditum,"build, found; store up; hide, conceal",Verb: 3rd Conjugation -ō,The City,540.00
cōnferō cōnferre contulī collātum,"collect, bring to",Verb: Irregular,Verbs of Transport,645.00
cōnficiō -ficere -fēcī -fectum,"complete, accomplish; destroy, kill, consume",Verb: 3rd Conjugation -iō,Violence,894.00
cōnfiteor cōnfitērī cōnfessus sum,"admit (a fact), confess (a crime); reveal, disclose",Verb: Deponent,Justice,972.00
coniunx coniugis m./f.,"spouse, husband, wife",Noun: 3rd Declension,The Household,218.00
cōnor cōnārī cōnātus sum,"try, attempt",Verb: Deponent,Making/Doing,905.00
cōnsequor -sequī -secūtus sum,"follow up, overtake, attain",Verb: Deponent,Motion,917.00
cōnsilium -ī n.,"plan; council, group of advisors",Noun: 2nd Declension,The City,217.00
cōnsistō -sistere -stitī,"take position; consist in, be composed of",Verb: 3rd Conjugation -ō,Speech/Oratory,780.00
cōnstituō -stituere -stituī -stitūtum,"establish, put together",Verb: 3rd Conjugation -ō,Making/Doing,652.00
cōnstō -stāre -stitī,"agree; constat, it is established that (+ acc. and infin.)",Verb: 1st Conjugation,Speech/Oratory,731.00
cōnsuētūdo -inis f.,"custom, habit",Noun: 3rd Declension,Personality Traits/Characteristics,954.00
cōnsul -ulis m.,consul,Noun: 3rd Declension,The City,321.00
cōnsulō -sulere -suluī -sultum,"consult, plan (+ acc.); consider the interests of (+dat)",Verb: 3rd Conjugation -ō,The City,757.00
cōnsūmō -sūmere -sūmpsī -sūmptum,"to use up, consume",Verb: 3rd Conjugation -ō,Life and Being,869.00
contemnō -temnere -tempsī -temptum,"despise, scorn, disdain",Verb: 3rd Conjugation -ō,Emotions,615.00
contineō -tinēre -tinuī -tentum,"contain, restrain",Verb: 2nd Conjugation,Verbs of Compelling/Directing,804.00
contingō -tingere -tigī -tactum,"touch, be contiguous to",Verb: 3rd Conjugation -ō,Place,494.00
contrā,"against, opposite (adv. and prep. +acc.)",Preposition,Place,271.00
conveniō -venīre -vēnī -ventum,"assemble, meet; agree",Verb: 4th Conjugation,Social Life,698.00
convertō -vertere -vertī -versum,"turn about, turn, change",Verb: 3rd Conjugation -ō,Motion,834.00
convīvium -iī n.,"banquet, feast",Noun: 2nd Declension,Social Life,921.00
cōpia -ae f.,abundance; (pl.) troops,Noun: 1st Declension,War and Peace,331.00
cor cordis n.,"heart; cordī est, it is pleasing to (+ dat.)",Noun: 3rd Declension,The Body,795.00
cornu -ūs n.,horn,Noun: 4th Declension,Animals/Plants,591.00
corpus corporis n.,body,Noun: 3rd Declension,The Body,75.00
corrumpō -rumpere -rūpī -ruptum,"break up, destroy, ruin",Verb: 3rd Conjugation -ō,Violence,870.00
crēdō crēdere crēdidī crēditum,believe,Verb: 3rd Conjugation -ō,Education/Knowledge,109.00
creō -āre,"produce, create; elect, choose",Verb: 1st Conjugation,Making/Doing,978.00
crēscō crēscere crēvī crētum,"grow, increase",Verb: 3rd Conjugation -ō,Animals/Plants,609.00
crīmen -inis n.,"verdict, accusation",Noun: 3rd Declension,Justice,475.00
culpa -ae f.,"guilt, fault, blame",Noun: 1st Declension,Justice,769.00
cum,"with (prep. + abl.); when, since, although (conjunction + subj.)",Preposition,Conjunctions/Adverbs,10.00
cūnctus -a -um,entire all together,Adjective: 1st and 2nd Declension,Measurement,292.00
cupīdō -inis f.,"desire, eagerness, craving",Noun: 3rd Declension,Love,906.00
cupiō -ere -īvī -ītum,desire,Verb: 3rd Conjugation -iō,Love,441.00
cūr,why?,Adverb,Pronouns/Interrogatives,404.00
cūra -ae f.,"care, concern",Noun: 1st Declension,Love,186.00
cūrō -āre,"watch over, look after, care for (+ acc.)",Verb: 1st Conjugation,Love,743.00
currō currere cucurrī cursum,run,Verb: 3rd Conjugation -ō,Athletics,562.00
currus -ūs m.,chariot,Noun: 4th Declension,Athletics,491.00
cursus -ūs m.,"course, advance",Noun: 4th Declension,Athletics,351.00
custōs custōdis m.,guardian,Noun: 3rd Declension,The Household,622.00
damnō -āre,condemn,Verb: 1st Conjugation,Justice,751.00
damnum -ī n.,"damage, injury",Noun: 2nd Declension,Violence,926.00
dē,"down from, about, concerning (+ abl.)",Preposition,Place,46.00
dēbeō dēbēre dēbuī dēbitum,"owe, be obliged",Verb: 2nd Conjugation,Business/Money,155.00
decem,ten,Adjective: Numeral,Measurement,914.00
dēcernō -cernere -crēvī -crētum,"determine, decide",Verb: 3rd Conjugation -ō,Education/Knowledge,800.00
decet decēre decuīt,"it is right, proper, fitting (+ acc. + infin.)",Verb: Impersonal,Personality Traits/Characteristics,718.00
decus decoris n.,"beauty, grace; ornament, glory, honor",Noun: 3rd Declension,Personality Traits/Characteristics,548.00
dēdūcō -dūcere -dūxī -ductum,"launch, lead away",Verb: 3rd Conjugation -ō,Travel,661.00
dēfendō -fendere -fendī -fēnsum,"defend, ward off",Verb: 3rd Conjugation -ō,War and Peace,653.00
dēferō -ferre -tulī -lātum,"carry away, report",Verb: Irregular,Verbs of Transport,805.00
deficiō -ficere -fēcī -fectum,"fail, give out; revolt from",Verb: 3rd Conjugation -iō,War and Peace,676.00
deinde/dein,"then, next",Adverb,Time,150.00
dēnique,finally,Adverb,Time,796.00
dēscendō -scendere -scendī -scēnsum,"climb down, descend",Verb: 3rd Conjugation -ō,Travel,802.00
dēserō -ere dēseruī dēsertum,"leave, desert, abandon",Verb: 3rd Conjugation -ō,Motion,544.00
dēsīderō -āre,"long for, desire greatly",Verb: 1st Conjugation,Love,892.00
dēsinō -sinere -siī -situm,"leave off, cease",Verb: 3rd Conjugation -ō,Motion,624.00
dēsum -esse -fuī,be lacking,Verb: Irregular,Business/Money,463.00
deus -ī m.; dea -ae f.,god; goddess,Noun: 2nd Declension,Religion,42.00
dexter -tra -trum,right; dextera -ae f.: right hand,Adjective: 1st and 2nd Declension,Place,260.00
dīcō dīcere dīxī dictum,"say; causam dīcere, plead a case; diem dīcere, appoint a day",Verb: 3rd Conjugation -ō,Speech/Oratory,33.00
diēs diēī m./f.,day,Noun: 5th Declension,Lengths of Time,54.00
differō differre distulī dīlātum,"scatter; publish, divulge; differ; defer, postpone",Verb: Irregular,Making/Doing,880.00
difficilis -e,"not easy, hard, difficult",Adjective: 3rd Declension,Personality Traits/Characteristics,861.00
dīgnitās -ātis f.,"worth, reputation, honor",Noun: 3rd Declension,Personality Traits/Characteristics,956.00
dīgnus -a -um,worthy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,291.00
dīligō -ligere -lēxī -lēctum,"choose, cherish, love",Verb: 3rd Conjugation -ō,Love,973.00
dīmittō -mittere -mīsī -missum,send away,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,777.00
discēdō -ere -cessī -cessum,"go away, depart",Verb: 3rd Conjugation -ō,Travel,726.00
disciplīna -ae f.,"training, instruction; learning, discipline",Noun: 1st Declension,Education/Knowledge,982.00
discō -ere didicī,learn,Verb: 3rd Conjugation -ō,Education/Knowledge,465.00
diū:,for a long time,Adverb,Time,361.00
dīversus -a -um,"different, diverse",Adjective: 1st and 2nd Declension,Other Senses,641.00
dīves dīvitis,"rich (poet. dīs, dītis)",Adjective: 3rd Declension,Business/Money,564.00
dīvidō -ere dīvīsī dīvīsum,"divide, separate",Verb: 3rd Conjugation -ō,Making/Doing,628.00
dīvitiae -ārum f. pl.,"riches, wealth",Noun: 1st Declension,Business/Money,712.00
dīvus -a -um,"divine, godlike; (as subst.) a god",Adjective: 1st and 2nd Declension,Religion,962.00
dō dare dedī datum,give,Verb: 1st Conjugation,Social Life,28.00
doceō -ēre -uī doctum,teach,Verb: 2nd Conjugation,Education/Knowledge,393.00
doleō -ēre doluī,"feel pain or grief, grieve",Verb: 2nd Conjugation,Emotions,785.00
dolor -ōris m.,"pain, grief",Noun: 3rd Declension,Emotions,193.00
dolus -ī m.,"artifice, device, trick",Noun: 2nd Declension,Deception,701.00
dominus -ī m.; domina -ae f.,"household master, lord; mistress",Noun: 2nd Declension,The Household,241.00
domus -ūs f.,"house, home",Noun: 4th Declension,The House,73.00
dōnec,until,Conjunction,Time,771.00
dōnō -āre,present with a gift (+ acc. of person and abl. of thing),Verb: 1st Conjugation,Social Life,606.00
dōnum -ī n.,"gift, present",Noun: 2nd Declension,Social Life,476.00
dormiō -īre,sleep,Verb: 4th Conjugation,Life and Being,975.00
dubitō -āre,"hesitate, doubt",Verb: 1st Conjugation,Education/Knowledge,521.00
dubius -a -um,"doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly",Adjective: 1st and 2nd Declension,Deception,528.00
dūcō dūcere dūxī ductum,"lead; uxōrem dūcere, marry",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,133.00
dulcis -e,sweet,Adjective: 3rd Declension,Other Senses,383.00
dum,while (+ indic.); until (+ subj.); provided that (+ subj.),Conjunction,Time,103.00
duo duae duo,two,Adjective: Numeral,Measurement,221.00
dūrus -a -um,"hard, tough, harsh",Adjective: 1st and 2nd Declension,Other Senses,249.00
dux ducis m./f.,"leader, general",Noun: 3rd Declension,War and Peace,239.00
ecce,behold!,Adverb,Vision,643.00
ēdīcō -dīcere -dīxī -dictum,declare,Verb: 3rd Conjugation -ō,Speech/Oratory,996.00
ēdō ēdere ēdidī ēditum,"put forth, state, explain",Verb: 3rd Conjugation -ō,Speech/Oratory,688.00
ēdūcō -dūcere -dūxī -ductum,lead forth,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,935.00
efficiō -ficere -fēcī -fectum,"bring about, complete; render (+ ut + subj.)",Verb: 3rd Conjugation -iō,Making/Doing,573.00
effundō -fundere -fūdī -fūsum,pour out,Verb: 3rd Conjugation -ō,Earth and Water,719.00
ego meī mihi mē,"I, me",Pronoun,Pronouns/Interrogatives,11.00
ēgredior ēgredī ēgressus sum,"stride out, depart, disembark from (+ abl.)",Verb: Deponent,Travel,912.00
ēgregius -a -um,"distinguished, uncommon",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,860.00
ēligō ēligere ēlēgī ēlēctum,"pick out, select",Verb: 3rd Conjugation -ō,The City,942.00
enim,"for, indeed",Conjunction,Pronouns/Interrogatives,57.00
eō īre iī/īvī itum,go,Verb: Irregular,Motion,97.00
eō,"(adv.) there, to that place",Adverb,Place,470.00
epistula -ae f.,letter,Noun: 1st Declension,Writing/Poetry,951.00
eques equitis m.,"horseman, knight",Noun: 3rd Declension,War and Peace,296.00
equus -ī m.,horse,Noun: 2nd Declension,Animals/Plants,248.00
ergō,therefore,Conjunction,Conjunctions/Adverbs,134.00
ēripiō -ripere -ripuī -reptum,"snatch away, rescue, save",Verb: 3rd Conjugation -iō,Verbs of Transport,349.00
errō -āre,"go astray, wander",Verb: 1st Conjugation,Travel,402.00
error -ōris m.,"wandering; error, mistake",Noun: 3rd Declension,Travel,832.00
et,and,Conjunction,Conjunctions/Adverbs,1.00
etiam,"also, even",Adverb,Conjunctions/Adverbs,67.00
"ex, ē","out of, from (+ abl.)",Preposition,Place,26.00
excipiō -cipere -cēpī -ceptum,take out,Verb: 3rd Conjugation -iō,Verbs of Transport,394.00
exemplum -ī n.,"example, sample, copy",Noun: 2nd Declension,Speech/Oratory,519.00
exeō -īre -iī -itum,go forth,Verb: Irregular,Motion,597.00
exerceō -ercēre -ercuī -ercitum,"train, exercise, carry on",Verb: 2nd Conjugation,Athletics,576.00
exercitus -ūs m.,army,Noun: 4th Declension,War and Peace,267.00
exigō -igere -ēgī -āctum,drive out; collect,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,500.00
exīstimō -āre,"think, believe",Verb: 1st Conjugation,Education/Knowledge,613.00
experior -perīrī -pertus sum,"try thoroughly, test, experience",Verb: Deponent,Education/Knowledge,713.00
exsilium -ī n.,"exile, banishment",Noun: 2nd Declension,Travel,794.00
exspectō -āre,"watch, wait, expect",Verb: 1st Conjugation,Vision,442.00
extrēmus -a -um,"farthest, situated at the end or tip, extreme",Adjective: 1st and 2nd Declension,Geography,385.00
fābula -ae f.,"account, tale, story",Noun: 1st Declension,Writing/Poetry,966.00
faciēs -ēī f.,"form, appearance",Noun: 5th Declension,Vision,479.00
facilis -e,easy,Adjective: 3rd Declension,Personality Traits/Characteristics,451.00
facinus facinoris n.,"deed, crime",Noun: 3rd Declension,Justice,646.00
faciō facere fēcī factum,"do, make",Verb: 3rd Conjugation -iō,Making/Doing,32.00
factum -ī n.,"deed, accomplishment",Noun: 2nd Declension,Making/Doing,611.00
fallō fallere fefellī falsum,deceive,Verb: 3rd Conjugation -ō,Deception,503.00
falsus -a -um,"deceptive, false",Adjective: 1st and 2nd Declension,Deception,633.00
fāma -ae f.,"rumor, fame",Noun: 1st Declension,Speech/Oratory,278.00
famēs -is f.,"hunger, famine",Noun: 3rd Declension,Life and Being,828.00
familia -ae f.,"household, family",Noun: 1st Declension,The Household,943.00
fateor fatērī fassus sum,"admit, confess; profess, declare; assent, say yes",Verb: Deponent,Justice,689.00
fātum -ī n.,fate; death,Noun: 2nd Declension,Religion,157.00
fax facis f.,torch,Noun: 3rd Declension,Air and Fire,511.00
fēlīciter,luckily,Adverb,Personality Traits/Characteristics,994.00
fēlīx -īcis,lucky,Adjective: 3rd Declension,Personality Traits/Characteristics,309.00
fēmina -ae f.,woman,Noun: 1st Declension,People,501.00
ferē,almost,Adverb,Conjunctions/Adverbs,907.00
ferō ferre tulī lātum,"bear, carry, endure",Verb: Irregular,Verbs of Transport,45.00
ferrum -ī n.,"iron, iron weapon or implement",Noun: 2nd Declension,Violence,231.00
ferus -a -um,"wild, fierce; fera -ae f.: wild animal",Adjective: 1st and 2nd Declension,Animals/Plants,222.00
fessus -a -um,"weary, tired",Adjective: 1st and 2nd Declension,Life and Being,625.00
fidēlis -e,faithful,Adjective: 3rd Declension,Personality Traits/Characteristics,979.00
fidēs -eī f.,"trust, faith",Noun: 5th Declension,Personality Traits/Characteristics,184.00
